                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.1156,                0.72028,                 1.1883,                0.76024,                0.81521,                0.83876,                0.50662,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                 1.1073,                0.71704,                 1.1915,                0.83569,                0.73497,                0.81667,                  0.507,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.1075,                0.71022,                 1.1848,                0.78431,                0.79869,                 0.8313,                0.49837,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                 1.1042,                0.70353,                 1.1775,                0.79049,                0.78467,                0.83231,                0.52074,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.0866,                0.69306,                 1.1715,                0.85422,                0.76304,                 0.8327,                0.52401,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                 1.0987,                0.69726,                 1.1842,                 0.8209,                0.80999,                0.83629,                0.51825,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                 1.0704,                0.68257,                 1.1693,                0.76687,                0.79866,                0.80986,                0.52385,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                 1.0676,                 0.6799,                 1.1692,                0.75782,                0.76565,                0.79873,                0.49742,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.0701,                0.67566,                 1.1652,                0.79243,                0.76798,                0.81593,                0.52186,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                 1.0677,                0.68178,                 1.1674,                0.89736,                0.73986,                0.85295,                0.54008,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                  1.057,                0.66837,                 1.1562,                0.81639,                0.80901,                0.82906,                0.53318,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                 1.0549,                0.66506,                 1.1561,                0.78168,                0.78239,                0.81573,                 0.5199,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                 1.0312,                0.65078,                 1.1503,                0.78275,                0.82576,                0.83051,                0.52162,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                  1.039,                0.65342,                 1.1509,                0.77954,                0.79133,                0.81935,                0.53667,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                 1.0203,                0.64526,                 1.1376,                0.79103,                0.79409,                0.80794,                0.48207,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                 1.0325,                0.64578,                 1.1482,                0.73998,                0.81237,                0.82618,                0.52307,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                 1.0223,                0.63584,                 1.1412,                0.81534,                0.76872,                0.82475,                0.52348,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                 1.0178,                 0.6395,                 1.1417,                0.86009,                0.78702,                0.85112,                0.52947,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                 1.0124,                 0.6321,                 1.1302,                0.85065,                0.78103,                0.84716,                0.50379,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                 1.0197,                0.63514,                  1.136,                0.85138,                0.76785,                0.85322,                0.55113,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                 1.0094,                0.62716,                 1.1318,                0.86346,                0.75914,                0.84665,                0.55599,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                 1.0038,                0.61997,                 1.1334,                0.85947,                0.75602,                0.83917,                0.54136,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                 1.0015,                0.61615,                 1.1238,                0.81951,                0.75926,                0.82683,                0.54551,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.98975,                0.61042,                 1.1221,                0.82941,                0.75681,                0.83456,                0.52794,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
