                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.1819,                 1.0918,                 1.2618,                0.73458,                0.67069,                0.72482,                0.47343,                    nan,                    inf,                    nan,               0.006436,               0.006436,               0.006436
                     38,                 1.1794,                 1.0888,                 1.2635,                0.73677,                0.67011,                0.72468,                0.47486,                    nan,                    inf,                    nan,               0.006337,               0.006337,               0.006337
                     39,                 1.1767,                 1.0845,                 1.2587,                0.73605,                0.67099,                0.72648,                0.47681,                    nan,                    inf,                    nan,               0.006238,               0.006238,               0.006238
                     40,                  1.175,                 1.0803,                 1.2596,                0.73153,                0.67687,                 0.7275,                0.47837,                    nan,                    inf,                    nan,               0.006139,               0.006139,               0.006139
                     41,                  1.176,                  1.082,                 1.2589,                0.73556,                0.67869,                0.72702,                0.47764,                    nan,                    inf,                    nan,                0.00604,                0.00604,                0.00604
                     42,                 1.1701,                  1.076,                 1.2564,                0.74052,                0.67587,                0.72816,                0.47753,                    nan,                    inf,                    nan,               0.005941,               0.005941,               0.005941
                     43,                 1.1686,                 1.0741,                 1.2564,                0.74012,                 0.6774,                 0.7275,                0.47851,                    nan,                    inf,                    nan,               0.005842,               0.005842,               0.005842
                     44,                 1.1691,                 1.0727,                 1.2542,                0.74303,                0.67908,                0.72766,                0.48049,                    nan,                    inf,                    nan,               0.005743,               0.005743,               0.005743
                     45,                 1.1656,                 1.0679,                 1.2548,                0.74487,                0.67932,                0.72879,                0.48221,                    nan,                    inf,                    nan,               0.005644,               0.005644,               0.005644
                     46,                 1.1681,                 1.0644,                 1.2527,                0.73591,                0.68005,                0.72957,                0.48228,                    nan,                    inf,                    nan,               0.005545,               0.005545,               0.005545
                     47,                 1.1644,                 1.0643,                 1.2508,                 0.7355,                0.67997,                0.72962,                0.48291,                    nan,                    inf,                    nan,               0.005446,               0.005446,               0.005446
                     48,                 1.1637,                 1.0647,                 1.2512,                0.74338,                0.68041,                0.73199,                0.48485,                    nan,                    inf,                    nan,               0.005347,               0.005347,               0.005347
                     49,                 1.1627,                 1.0608,                 1.2507,                0.74025,                0.67449,                0.73292,                0.48776,                    nan,                    inf,                    nan,               0.005248,               0.005248,               0.005248
                     50,                 1.1608,                 1.0574,                 1.2484,                0.74664,                0.67247,                0.73504,                0.48875,                    nan,                    inf,                    nan,               0.005149,               0.005149,               0.005149
                     51,                 1.1572,                 1.0552,                 1.2471,                0.74573,                 0.6737,                0.73664,                0.48925,                    nan,                    inf,                    nan,                0.00505,                0.00505,                0.00505
                     52,                 1.1565,                 1.0526,                  1.245,                0.73319,                0.68405,                0.73823,                0.48975,                    nan,                    inf,                    nan,               0.004951,               0.004951,               0.004951
                     53,                 1.1544,                 1.0478,                 1.2423,                0.73852,                0.68501,                0.73894,                0.49004,                    nan,                    inf,                    nan,               0.004852,               0.004852,               0.004852
                     54,                 1.1559,                 1.0453,                 1.2429,                0.75485,                 0.6748,                0.73929,                0.49004,                    nan,                    inf,                    nan,               0.004753,               0.004753,               0.004753
                     55,                 1.1513,                 1.0426,                  1.242,                0.75562,                 0.6736,                0.73848,                0.48961,                    nan,                    inf,                    nan,               0.004654,               0.004654,               0.004654
                     56,                 1.1498,                 1.0411,                 1.2413,                0.75737,                0.67281,                0.73978,                0.49151,                    nan,                    inf,                    nan,               0.004555,               0.004555,               0.004555
                     57,                 1.1473,                 1.0377,                 1.2396,                0.76456,                0.67032,                0.73955,                0.49193,                    nan,                    inf,                    nan,               0.004456,               0.004456,               0.004456
                     58,                 1.1454,                 1.0323,                 1.2376,                0.75729,                0.67749,                0.73935,                0.49351,                    nan,                    inf,                    nan,               0.004357,               0.004357,               0.004357
                     59,                  1.144,                 1.0339,                 1.2374,                0.76995,                0.67506,                0.73989,                0.49376,                    nan,                    inf,                    nan,               0.004258,               0.004258,               0.004258
                     60,                 1.1418,                 1.0261,                 1.2356,                0.76954,                0.67581,                0.74098,                0.49512,                    nan,                    inf,                    nan,               0.004159,               0.004159,               0.004159
                     61,                 1.1413,                 1.0244,                 1.2357,                0.76464,                 0.6767,                0.74174,                0.49616,                    nan,                    inf,                    nan,                0.00406,                0.00406,                0.00406
                     62,                 1.1405,                 1.0254,                 1.2343,                0.75129,                0.68702,                0.74269,                0.49732,                    nan,                    inf,                    nan,               0.003961,               0.003961,               0.003961
                     63,                 1.1373,                 1.0181,                 1.2316,                0.75609,                0.68292,                0.74471,                0.49877,                    nan,                    inf,                    nan,               0.003862,               0.003862,               0.003862
                     64,                 1.1359,                 1.0162,                 1.2306,                0.76587,                0.67969,                0.74683,                0.49981,                    nan,                    inf,                    nan,               0.003763,               0.003763,               0.003763
                     65,                 1.1319,                 1.0097,                 1.2276,                0.75586,                0.68812,                 0.7486,                0.50204,                    nan,                    inf,                    nan,               0.003664,               0.003664,               0.003664
                     66,                 1.1308,                 1.0086,                 1.2282,                0.74987,                0.69284,                0.74991,                0.50333,                    nan,                    inf,                    nan,               0.003565,               0.003565,               0.003565
                     67,                 1.1289,                 1.0085,                 1.2269,                0.74524,                0.69991,                0.75235,                0.50601,                    nan,                    inf,                    nan,               0.003466,               0.003466,               0.003466
                     68,                 1.1292,                 1.0047,                 1.2254,                0.75508,                0.69435,                0.75319,                0.50636,                    nan,                    inf,                    nan,               0.003367,               0.003367,               0.003367
                     69,                 1.1235,                0.99769,                 1.2226,                0.75383,                0.69556,                0.75258,                0.50699,                    nan,                    inf,                    nan,               0.003268,               0.003268,               0.003268
                     70,                 1.1216,                0.99551,                 1.2222,                 0.7592,                0.69117,                0.75207,                0.50774,                    nan,                    inf,                    nan,               0.003169,               0.003169,               0.003169
