                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.69478,                0.95959,                0.90001,                0.64785,                0.58284,                0.58592,                0.51364,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                0.64773,                0.99376,                0.90602,                0.54427,                0.68789,                0.60773,                0.52145,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                0.66872,                0.97332,                0.89433,                0.59701,                0.59648,                0.58337,                0.49038,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                0.66178,                0.90099,                0.89594,                0.60962,                0.63934,                0.62003,                0.53279,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                0.65837,                0.90496,                 0.9005,                0.63299,                0.61374,                0.60719,                0.52209,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                0.65762,                0.98983,                0.90686,                0.62062,                0.61846,                 0.6477,                0.54886,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                0.63719,                0.91292,                0.90109,                 0.6913,                0.50655,                0.62855,                0.53769,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                0.64926,                0.88433,                0.89149,                 0.5833,                0.64874,                0.62359,                0.53301,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                0.65772,                0.85337,                0.89891,                0.67734,                0.53099,                0.60313,                0.52751,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                0.61621,                 0.8568,                0.89087,                0.61201,                0.57059,                 0.6032,                0.51489,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                0.63819,                 0.8497,                0.87975,                0.69811,                0.55769,                0.60792,                 0.5193,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                0.60485,                0.83091,                0.87912,                0.63504,                0.60967,                0.60975,                0.53143,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.65996,                0.84841,                0.88867,                0.62726,                0.54216,                0.53744,                0.46586,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                 0.6137,                0.81042,                0.88467,                0.61388,                0.57924,                0.59721,                 0.5138,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.62944,                0.84312,                0.89318,                0.66613,                0.59506,                0.62816,                0.54001,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.59809,                0.84096,                0.88047,                0.68891,                0.55509,                0.62107,                0.53764,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                 0.6374,                0.80809,                0.89021,                0.63381,                0.63742,                0.63229,                0.54406,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.60583,                0.85044,                0.88985,                0.74212,                0.59375,                 0.6627,                0.57655,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                0.57062,                0.83664,                0.88305,                 0.7003,                0.62883,                0.67151,                 0.5829,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                0.63589,                0.78458,                0.87321,                0.61054,                0.61555,                0.64337,                 0.5591,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                  0.589,                0.74143,                0.86216,                0.64091,                0.65138,                0.67109,                0.57308,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                0.57408,                 0.7528,                0.86146,                0.68815,                 0.5943,                0.65104,                0.55775,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                0.59344,                 0.7624,                0.87126,                0.65086,                  0.623,                0.62396,                0.53394,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.57803,                0.72298,                0.86535,                0.61348,                0.61058,                0.60067,                0.52015,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                0.60411,                0.76557,                0.87571,                0.68397,                0.57924,                0.65637,                0.56512,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                0.54547,                0.72107,                0.87136,                0.72156,                0.57402,                0.65763,                0.57365,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
