                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.63113,                0.73368,                0.92073,                0.62585,                0.61442,                0.63558,                0.54593,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                0.61648,                 0.7336,                0.91322,                 0.6715,                0.57881,                0.63265,                0.55115,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                0.62509,                0.70801,                0.92284,                0.62726,                0.59547,                0.64565,                0.55198,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                0.60324,                0.69314,                0.91137,                0.51834,                0.59312,                0.53094,                0.45929,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                0.61035,                0.69621,                0.90807,                0.65535,                0.54578,                0.58615,                0.52518,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                0.59365,                0.68827,                0.90805,                0.57012,                0.58328,                0.57356,                0.49586,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                0.60972,                0.66395,                0.90359,                0.66596,                0.55847,                0.59666,                0.51331,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                0.59678,                0.65559,                0.90561,                0.61909,                 0.6038,                0.60524,                0.52546,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                0.59633,                0.64115,                0.90097,                0.63468,                0.56608,                0.60565,                0.52421,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                0.59597,                0.64563,                0.90812,                0.70341,                0.56807,                0.62882,                0.54706,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                0.60114,                0.64367,                0.90053,                0.63857,                0.56333,                0.60993,                0.53041,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.59493,                0.62458,                0.90551,                0.62405,                0.53609,                0.61138,                  0.533,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.57057,                0.62786,                0.89792,                0.58778,                0.56399,                0.60933,                 0.5242,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.56689,                0.61986,                 0.9033,                0.70292,                0.52445,                0.62696,                0.55107,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.57268,                0.62205,                0.89705,                0.64151,                0.62242,                0.63154,                0.54126,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.55039,                0.60571,                0.89871,                0.67269,                0.57262,                0.64681,                0.55221,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.57194,                0.59763,                0.89229,                0.65963,                 0.6081,                0.65449,                0.56999,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                0.56327,                0.59162,                0.89022,                 0.5611,                0.70089,                0.65201,                0.57965,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                0.57125,                0.58841,                0.89538,                0.55404,                0.64371,                0.61004,                0.53016,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                0.57134,                 0.5823,                0.89804,                0.62476,                0.61138,                0.60424,                0.52536,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                 0.5469,                  0.573,                0.89505,                0.57058,                0.66019,                0.61321,                0.53239,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                0.56282,                 0.5681,                0.88668,                0.66591,                0.59831,                0.62737,                 0.5512,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.53626,                0.55488,                0.88713,                0.66144,                0.60652,                0.63855,                0.55794,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                0.53807,                0.55898,                0.88857,                0.64711,                0.62756,                0.62368,                0.54866,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                 0.5313,                0.55205,                0.88349,                0.64529,                0.60292,                0.61819,                0.54254,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                 0.5587,                0.56285,                0.88602,                 0.7193,                0.56584,                0.62409,                0.54362,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                0.54177,                0.54313,                0.89051,                 0.6046,                0.57667,                 0.6028,                0.53154,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.52196,                0.53081,                0.89131,                0.60438,                0.61227,                 0.6314,                 0.5627,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                0.52951,                0.53997,                0.88579,                0.65134,                 0.5912,                0.64549,                0.56883,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.51909,                0.52142,                0.89247,                0.67173,                0.59769,                0.62463,                0.55169,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                0.50846,                0.50846,                0.87448,                0.65715,                0.66848,                0.67088,                0.59564,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.51013,                0.52581,                0.87659,                0.68433,                0.63636,                0.68709,                 0.5976,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                0.51992,                0.51285,                0.87552,                0.74911,                 0.5727,                0.64888,                0.57018,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.51756,                0.51508,                0.88196,                0.75047,                0.60401,                  0.665,                0.58824,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
