               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.046468,            0.036209,           0.0065957,              0.7034,              0.6262,             0.68773,             0.40988,            0.024559,             0.01372,           0.0042106,            0.006535,            0.006535,            0.006535
                  37,            0.046357,            0.036174,           0.0065678,             0.70792,              0.6268,             0.68952,             0.41056,             0.02454,            0.013711,           0.0042164,            0.006436,            0.006436,            0.006436
                  38,            0.046444,             0.03611,            0.006518,              0.7153,             0.62252,             0.68986,             0.41173,            0.024526,            0.013697,           0.0042419,            0.006337,            0.006337,            0.006337
                  39,            0.046288,            0.036193,           0.0065185,             0.70646,             0.62725,             0.69053,             0.41335,            0.024492,            0.013685,           0.0042041,            0.006238,            0.006238,            0.006238
                  40,            0.046294,            0.036133,           0.0064291,             0.70681,             0.63151,             0.69128,             0.41375,             0.02446,            0.013671,           0.0041366,            0.006139,            0.006139,            0.006139
                  41,             0.04624,            0.036039,           0.0064108,             0.71887,             0.62034,             0.69157,             0.41288,             0.02442,             0.01366,           0.0040579,             0.00604,             0.00604,             0.00604
                  42,            0.046115,            0.035914,           0.0064488,                0.71,             0.62956,             0.69331,             0.41541,             0.02438,            0.013651,           0.0040094,            0.005941,            0.005941,            0.005941
                  43,            0.046103,            0.036011,           0.0064014,             0.71696,             0.62513,             0.69362,             0.41601,            0.024345,            0.013642,           0.0040192,            0.005842,            0.005842,            0.005842
                  44,            0.046003,            0.035956,           0.0062674,             0.72637,             0.62094,             0.69312,             0.41696,            0.024311,            0.013628,           0.0040346,            0.005743,            0.005743,            0.005743
                  45,            0.045997,            0.035919,            0.006407,             0.72626,             0.62209,             0.69443,             0.41651,            0.024283,            0.013619,           0.0040584,            0.005644,            0.005644,            0.005644
                  46,            0.045881,            0.035911,           0.0062898,             0.72033,             0.62969,             0.69453,             0.41582,            0.024248,            0.013605,           0.0040194,            0.005545,            0.005545,            0.005545
                  47,            0.045867,            0.035832,           0.0063129,             0.72366,             0.62708,             0.69614,             0.41661,            0.024235,            0.013601,           0.0040303,            0.005446,            0.005446,            0.005446
                  48,            0.045791,            0.035791,           0.0061713,              0.7275,             0.62435,             0.69717,             0.41846,            0.024215,            0.013589,           0.0039851,            0.005347,            0.005347,            0.005347
                  49,            0.045716,            0.035743,           0.0062429,             0.72464,             0.62782,             0.69802,             0.41963,            0.024197,            0.013575,           0.0039888,            0.005248,            0.005248,            0.005248
                  50,            0.045779,            0.035815,           0.0061012,             0.73218,             0.62182,             0.69953,             0.42156,            0.024177,            0.013563,           0.0039359,            0.005149,            0.005149,            0.005149
                  51,            0.045675,            0.035864,           0.0061606,             0.72301,             0.62974,             0.70002,              0.4223,            0.024144,            0.013543,           0.0038961,             0.00505,             0.00505,             0.00505
                  52,            0.045624,            0.035734,           0.0061144,             0.74114,             0.61625,             0.69947,             0.42372,            0.024126,            0.013532,           0.0039057,            0.004951,            0.004951,            0.004951
                  53,            0.045582,            0.035621,            0.005981,             0.73376,             0.62029,               0.699,             0.42398,            0.024098,            0.013526,           0.0038759,            0.004852,            0.004852,            0.004852
                  54,            0.045524,             0.03563,           0.0060595,             0.73643,             0.62271,             0.70019,             0.42441,            0.024057,             0.01351,           0.0037948,            0.004753,            0.004753,            0.004753
                  55,            0.045417,            0.035596,           0.0060143,             0.72937,              0.6274,             0.70041,             0.42465,            0.024028,              0.0135,           0.0037309,            0.004654,            0.004654,            0.004654
                  56,            0.045429,            0.035685,            0.005952,             0.72946,             0.63033,             0.69982,             0.42363,            0.024008,            0.013491,           0.0037032,            0.004555,            0.004555,            0.004555
                  57,            0.045343,            0.035573,           0.0058921,             0.71911,             0.63619,             0.70118,             0.42412,            0.023987,            0.013478,            0.003695,            0.004456,            0.004456,            0.004456
                  58,            0.045234,            0.035471,           0.0059014,             0.73014,             0.63155,             0.70164,             0.42487,            0.023958,            0.013468,           0.0037012,            0.004357,            0.004357,            0.004357
                  59,            0.045207,            0.035342,           0.0059082,             0.73211,             0.63093,             0.70282,             0.42495,            0.023941,            0.013456,           0.0036609,            0.004258,            0.004258,            0.004258
                  60,             0.04512,            0.035494,            0.005788,              0.7308,             0.63574,             0.70362,              0.4266,            0.023935,            0.013444,           0.0037117,            0.004159,            0.004159,            0.004159
                  61,            0.045074,            0.035442,           0.0057668,             0.72522,              0.6415,             0.70463,             0.42755,            0.023923,            0.013433,           0.0037884,             0.00406,             0.00406,             0.00406
                  62,            0.044908,            0.035207,           0.0057004,             0.71945,             0.64576,             0.70531,             0.42858,            0.023899,            0.013415,           0.0037519,            0.003961,            0.003961,            0.003961
                  63,             0.04501,            0.035332,           0.0057533,             0.73442,             0.63712,             0.70666,              0.4295,             0.02388,            0.013404,           0.0037465,            0.003862,            0.003862,            0.003862
                  64,            0.044927,            0.035413,           0.0056804,             0.73015,             0.64526,             0.70975,             0.43211,            0.023843,             0.01339,           0.0036968,            0.003763,            0.003763,            0.003763
                  65,            0.044836,             0.03537,           0.0056005,             0.72615,             0.64515,             0.70848,             0.43176,            0.023822,            0.013381,           0.0036788,            0.003664,            0.003664,            0.003664
                  66,            0.044824,            0.035228,           0.0056927,             0.72522,             0.64771,             0.70894,             0.43229,            0.023806,            0.013372,           0.0036507,            0.003565,            0.003565,            0.003565
                  67,            0.044743,            0.035163,           0.0055409,             0.72548,             0.64741,              0.7103,             0.43294,            0.023789,             0.01336,           0.0036499,            0.003466,            0.003466,            0.003466
                  68,            0.044628,             0.03512,            0.005492,             0.71927,             0.65239,             0.70995,             0.43355,            0.023774,            0.013353,           0.0036353,            0.003367,            0.003367,            0.003367
                  69,            0.044619,            0.035006,           0.0054781,             0.72378,             0.64981,             0.71053,             0.43424,            0.023758,            0.013341,           0.0036149,            0.003268,            0.003268,            0.003268
                  70,            0.044456,            0.035017,           0.0053638,             0.73211,             0.64365,              0.7109,             0.43401,            0.023729,            0.013328,            0.003542,            0.003169,            0.003169,            0.003169
                  71,            0.044418,            0.034864,           0.0053018,             0.73379,             0.64056,             0.71207,             0.43535,            0.023692,            0.013315,           0.0035153,             0.00307,             0.00307,             0.00307
                  72,             0.04436,              0.0349,            0.005333,             0.73457,             0.63764,             0.71345,             0.43578,            0.023675,            0.013306,           0.0035415,            0.002971,            0.002971,            0.002971
                  73,            0.044238,            0.034893,           0.0053341,             0.73469,             0.64386,             0.71453,              0.4365,            0.023649,            0.013295,           0.0035357,            0.002872,            0.002872,            0.002872
                  74,            0.044157,            0.034835,           0.0052003,             0.74116,             0.64184,             0.71633,             0.43793,            0.023613,            0.013284,           0.0034945,            0.002773,            0.002773,            0.002773
                  75,            0.044075,            0.034838,           0.0050567,             0.74521,             0.64171,             0.71672,             0.43868,            0.023588,             0.01328,           0.0034818,            0.002674,            0.002674,            0.002674
                  76,            0.044036,            0.034475,           0.0051476,             0.74912,             0.64301,              0.7193,             0.43974,            0.023556,            0.013272,           0.0034589,            0.002575,            0.002575,            0.002575
                  77,            0.044017,            0.034623,           0.0051693,             0.75029,             0.64391,             0.72088,              0.4409,            0.023536,            0.013263,           0.0034567,            0.002476,            0.002476,            0.002476
                  78,            0.043935,            0.034578,           0.0051194,             0.75121,             0.64325,             0.72258,             0.44268,             0.02351,            0.013259,           0.0034501,            0.002377,            0.002377,            0.002377
                  79,            0.043818,            0.034509,           0.0049994,             0.72625,             0.65523,              0.7232,             0.44164,            0.023493,            0.013248,           0.0034616,            0.002278,            0.002278,            0.002278
                  80,            0.043649,            0.034527,           0.0049003,             0.73016,             0.65951,             0.72389,             0.44362,            0.023471,             0.01324,           0.0034058,            0.002179,            0.002179,            0.002179
                  81,            0.043595,             0.03433,           0.0048713,             0.73057,             0.66112,             0.72444,             0.44492,            0.023439,            0.013226,            0.003348,             0.00208,             0.00208,             0.00208
                  82,            0.043528,            0.034387,           0.0047592,             0.73228,             0.66464,             0.72436,             0.44594,            0.023408,            0.013211,           0.0032869,            0.001981,            0.001981,            0.001981
                  83,            0.043391,            0.034425,           0.0047952,             0.72927,             0.66628,             0.72583,             0.44764,            0.023384,            0.013198,           0.0032319,            0.001882,            0.001882,            0.001882
                  84,            0.043327,            0.034074,            0.004754,             0.73017,             0.66272,             0.72646,             0.44752,            0.023369,            0.013187,           0.0032184,            0.001783,            0.001783,            0.001783
                  85,            0.043288,            0.034232,           0.0047179,             0.74793,             0.65279,             0.72736,             0.44799,             0.02337,            0.013178,           0.0032334,            0.001684,            0.001684,            0.001684
                  86,            0.043065,            0.034126,           0.0045966,             0.74861,             0.65266,             0.72745,             0.44858,            0.023347,            0.013166,           0.0032334,            0.001585,            0.001585,            0.001585
                  87,            0.043052,            0.033972,           0.0045861,             0.76296,             0.64978,             0.72788,             0.44945,            0.023319,            0.013155,           0.0032154,            0.001486,            0.001486,            0.001486
                  88,            0.042841,            0.034052,           0.0043748,             0.75681,             0.64837,             0.72864,             0.45011,             0.02329,            0.013141,           0.0032057,            0.001387,            0.001387,            0.001387
                  89,             0.04277,            0.033815,           0.0043775,             0.76255,             0.64061,             0.72886,             0.45113,            0.023261,            0.013125,           0.0032124,            0.001288,            0.001288,            0.001288
                  90,            0.042659,            0.033759,           0.0043331,              0.7345,             0.65684,             0.72931,             0.45143,            0.023241,             0.01311,           0.0032276,            0.001189,            0.001189,            0.001189
                  91,            0.042492,            0.033858,           0.0041661,             0.72731,             0.66557,             0.73109,             0.45214,            0.023209,            0.013094,           0.0031851,             0.00109,             0.00109,             0.00109
                  92,            0.042407,            0.033606,           0.0042465,             0.73371,             0.66323,             0.73243,             0.45434,             0.02318,             0.01308,           0.0032045,            0.000991,            0.000991,            0.000991
                  93,            0.042261,            0.033634,            0.004074,             0.75186,             0.65591,              0.7333,             0.45546,            0.023153,            0.013066,           0.0031955,            0.000892,            0.000892,            0.000892
                  94,            0.042107,            0.033625,           0.0040384,              0.7453,             0.66013,               0.734,             0.45614,            0.023132,            0.013052,           0.0031809,            0.000793,            0.000793,            0.000793
                  95,            0.042001,            0.033433,           0.0039536,              0.7376,             0.66869,             0.73485,             0.45688,            0.023108,            0.013039,           0.0031871,            0.000694,            0.000694,            0.000694
                  96,             0.04184,            0.033332,           0.0038638,             0.74772,              0.6627,             0.73609,             0.45668,            0.023083,            0.013025,           0.0031476,            0.000595,            0.000595,            0.000595
                  97,            0.041644,            0.033125,           0.0037565,             0.73531,             0.67382,             0.73591,             0.45693,            0.023063,            0.013013,           0.0031329,            0.000496,            0.000496,            0.000496
                  98,             0.04156,            0.033018,           0.0036953,             0.72934,             0.68004,             0.73701,             0.45811,            0.023044,            0.013002,           0.0031347,            0.000397,            0.000397,            0.000397
                  99,            0.041482,            0.033031,            0.003635,             0.73599,             0.67838,             0.73752,             0.45914,            0.023028,            0.012994,           0.0031099,            0.000298,            0.000298,            0.000298
